year,doy,month,cvi,peak_ghi_wm2,daily_energy_wh_m2,daytime_mean_ghi,daytime_std_ghi,n_daytime_minutes
1,1,1,0.15,744.0,4505.7,409.0,214.4,661
1,2,1,0.15,743.9,4198.9,381.7,216.9,660
1,3,1,0.15,744.0,4471.0,406.4,225.0,660
1,4,1,0.15,743.9,4137.9,377.2,205.3,658
1,5,1,0.15,744.0,4326.7,394.5,218.3,658
1,6,1,0.15,744.0,4215.7,386.7,225.8,654
1,7,1,0.15,744.0,4569.1,415.3,216.0,660
1,8,1,0.15,744.0,4140.4,375.8,226.5,661
1,9,1,0.15,744.0,4358.4,396.2,211.6,660
1,10,1,0.15,744.0,4304.6,396.0,224.9,652
1,11,1,0.15,743.9,4246.0,388.3,219.7,656
1,12,1,0.15,744.0,4351.9,396.2,216.2,659
1,13,1,0.15,744.0,4647.8,427.0,217.9,653
1,14,1,0.15,744.0,4196.4,382.6,221.5,658
1,15,1,0.15,744.0,4312.2,393.2,230.4,658
1,16,1,0.15,744.0,4104.6,372.6,209.4,661
1,17,1,0.15,743.9,4309.5,391.2,217.0,661
1,18,1,0.15,744.0,4136.5,376.0,237.5,660
1,19,1,0.15,744.0,4167.8,379.4,217.0,659
1,20,1,0.15,742.8,3759.2,341.2,195.0,661
1,21,1,0.15,744.0,4257.5,388.2,226.4,658
1,22,1,0.15,744.0,4238.0,384.7,219.2,661
1,23,1,0.15,744.0,4569.6,414.8,221.0,661
1,24,1,0.15,744.0,4084.5,371.8,226.9,659
1,25,1,0.15,742.4,4203.9,381.6,210.2,661
1,26,1,0.15,744.0,4474.1,407.3,214.4,659
1,27,1,0.15,744.0,4352.2,398.0,211.6,656
1,28,1,0.15,744.0,4299.3,393.2,215.9,656
1,29,1,0.15,744.0,4206.6,383.0,223.5,659
1,30,1,0.15,744.0,4507.9,409.2,213.0,661
1,31,1,0.15,743.2,4208.7,382.6,217.6,660
1,32,2,0.2,744.0,3950.7,342.5,216.4,692
1,33,2,0.2,744.0,4638.8,401.0,229.4,694
1,34,2,0.2,744.0,4796.6,415.2,226.2,693
1,35,2,0.2,744.0,4795.1,418.7,219.9,687
1,36,2,0.2,744.0,4565.5,400.4,219.3,684
1,37,2,0.2,744.0,4596.7,397.9,222.1,693
1,38,2,0.2,744.0,4377.4,381.7,219.8,688
1,39,2,0.2,744.0,4552.4,395.8,217.8,690
1,40,2,0.2,744.0,4614.4,399.5,212.0,693
1,41,2,0.2,744.0,4450.9,385.3,218.9,693
1,42,2,0.2,744.0,4432.2,383.7,226.4,693
1,43,2,0.2,744.0,4830.5,417.6,211.8,694
1,44,2,0.2,743.6,4398.3,381.3,223.7,692
1,45,2,0.2,743.8,4299.3,373.8,211.1,690
1,46,2,0.2,744.0,4745.9,410.9,221.7,693
1,47,2,0.2,744.0,4682.3,405.3,224.6,693
1,48,2,0.2,743.9,4587.7,396.6,228.5,694
1,49,2,0.2,743.8,4530.1,392.2,212.3,693
1,50,2,0.2,744.0,4585.4,396.4,228.5,694
1,51,2,0.2,744.0,4232.2,366.4,205.1,693
1,52,2,0.2,744.0,4757.6,410.7,223.1,695
1,53,2,0.2,744.0,4410.9,380.8,221.3,695
1,54,2,0.2,743.9,4356.1,377.6,215.9,692
1,55,2,0.2,741.3,4622.1,400.1,220.4,693
1,56,2,0.2,744.0,4077.1,352.5,214.3,694
1,57,2,0.2,744.0,4743.0,413.0,224.6,689
1,58,2,0.2,744.0,4471.4,386.5,232.0,694
1,59,2,0.2,744.0,4443.8,385.8,214.9,691
1,60,3,0.25,762.6,4198.9,345.5,219.8,729
1,61,3,0.25,762.6,4167.5,348.6,231.1,717
1,62,3,0.25,762.6,3441.6,285.5,217.7,723
1,63,3,0.25,762.4,4218.5,348.1,222.1,727
1,64,3,0.25,762.6,4062.4,334.3,234.1,729
1,65,3,0.25,762.5,3762.1,311.2,225.2,725
1,66,3,0.25,762.5,4062.6,337.9,215.3,721
1,67,3,0.25,762.6,4547.7,377.3,226.9,723
1,68,3,0.25,762.6,4376.9,359.2,236.9,731
1,69,3,0.25,762.6,3782.8,316.8,230.5,716
1,70,3,0.25,762.6,3923.5,324.2,239.4,726
1,71,3,0.25,762.6,3774.9,312.3,209.9,725
1,72,3,0.25,760.6,4403.3,362.8,235.5,728
1,73,3,0.25,758.9,3715.1,306.6,205.4,727
1,74,3,0.25,762.6,3308.8,273.7,213.6,725
1,75,3,0.25,762.6,3886.0,325.9,207.4,715
1,76,3,0.25,762.3,3993.8,328.6,218.5,729
1,77,3,0.25,762.0,4230.0,353.3,225.3,718
1,78,3,0.25,762.6,4089.7,335.6,223.3,731
1,79,3,0.25,762.6,4231.3,347.3,226.9,731
1,80,3,0.25,762.6,4149.9,340.6,225.4,731
1,81,3,0.25,760.1,3574.3,298.1,220.6,719
1,82,3,0.25,762.6,3876.5,326.0,213.7,713
1,83,3,0.25,762.5,3828.5,320.2,232.1,717
1,84,3,0.25,759.8,4166.5,342.4,230.0,730
1,85,3,0.25,760.6,3969.0,326.6,222.6,729
1,86,3,0.25,760.6,3706.4,307.1,228.3,724
1,87,3,0.25,762.4,4611.4,381.6,223.6,725
1,88,3,0.25,762.6,3909.7,321.3,225.1,730
1,89,3,0.25,762.6,4180.8,345.9,234.9,725
1,90,3,0.25,762.5,4366.0,364.2,230.3,719
1,91,4,0.3,790.0,4311.6,336.3,233.8,769
1,92,4,0.3,790.5,4812.9,374.5,242.3,771
1,93,4,0.3,790.5,4668.4,367.0,242.0,763
1,94,4,0.3,788.2,4861.4,383.7,221.4,760
1,95,4,0.3,790.0,4002.1,312.6,203.6,768
1,96,4,0.3,790.4,3713.5,288.6,226.4,772
1,97,4,0.3,790.5,4165.1,327.4,230.5,763
1,98,4,0.3,790.2,4097.7,325.5,227.9,755
1,99,4,0.3,790.5,4591.2,360.9,241.0,763
1,100,4,0.3,790.5,4332.9,338.0,227.9,769
1,101,4,0.3,790.4,4417.8,347.3,230.6,763
1,102,4,0.3,790.5,4262.6,331.2,223.2,772
1,103,4,0.3,790.5,4107.2,319.6,246.9,771
1,104,4,0.3,790.2,3747.8,295.0,233.3,762
1,105,4,0.3,790.5,3890.4,306.6,224.0,761
1,106,4,0.3,790.4,4195.3,326.0,220.6,772
1,107,4,0.3,788.4,4339.3,338.5,227.7,769
1,108,4,0.3,790.4,4199.8,326.8,233.8,771
1,109,4,0.3,790.1,4259.3,333.9,241.3,765
1,110,4,0.3,790.5,4439.2,345.4,220.7,771
1,111,4,0.3,790.5,4507.9,356.6,231.6,758
1,112,4,0.3,788.6,4541.0,356.9,228.1,763
1,113,4,0.3,788.2,4085.5,318.3,233.3,770
1,114,4,0.3,790.4,4359.5,341.9,225.2,765
1,115,4,0.3,790.5,4237.3,333.5,227.8,762
1,116,4,0.3,790.5,4034.9,316.8,242.2,764
1,117,4,0.3,790.5,4263.6,332.2,241.5,770
1,118,4,0.3,782.7,3771.3,292.7,214.9,773
1,119,4,0.3,790.1,4229.9,328.7,219.0,772
1,120,4,0.3,790.5,4217.4,330.7,218.0,765
1,121,5,0.45,787.9,4477.1,342.0,215.8,785
1,122,5,0.45,790.5,4669.6,351.5,240.2,797
1,123,5,0.45,787.6,4432.4,335.3,218.7,793
1,124,5,0.45,789.5,4015.3,300.3,223.4,802
