doy,month,hour,ghi_hourly_wm2
1,1,0,0.0
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,45.15
1,1,7,177.26
1,1,8,378.55
1,1,9,537.05
1,1,10,593.96
1,1,11,530.27
1,1,12,611.85
1,1,13,611.94
1,1,14,498.05
1,1,15,343.32
1,1,16,162.34
1,1,17,15.98
1,1,18,0.0
1,1,19,0.0
1,1,20,0.0
1,1,21,0.0
1,1,22,0.0
1,1,23,0.0
2,1,0,0.0
2,1,1,0.0
2,1,2,0.0
2,1,3,0.0
2,1,4,0.0
2,1,5,0.0
2,1,6,44.12
2,1,7,222.76
2,1,8,380.26
2,1,9,490.97
2,1,10,522.02
2,1,11,583.28
2,1,12,564.75
2,1,13,596.15
2,1,14,323.88
2,1,15,341.55
2,1,16,114.42
2,1,17,14.7
2,1,18,0.0
2,1,19,0.0
2,1,20,0.0
2,1,21,0.0
2,1,22,0.0
2,1,23,0.0
3,1,0,0.0
3,1,1,0.0
3,1,2,0.0
3,1,3,0.0
3,1,4,0.0
3,1,5,0.0
3,1,6,41.13
3,1,7,191.65
3,1,8,328.94
3,1,9,516.73
3,1,10,639.87
3,1,11,637.14
3,1,12,626.82
3,1,13,559.75
3,1,14,405.21
3,1,15,336.91
3,1,16,173.37
3,1,17,13.54
3,1,18,0.0
3,1,19,0.0
3,1,20,0.0
3,1,21,0.0
3,1,22,0.0
3,1,23,0.0
4,1,0,0.0
4,1,1,0.0
4,1,2,0.0
4,1,3,0.0
4,1,4,0.0
4,1,5,0.0
4,1,6,46.24
4,1,7,218.11
4,1,8,378.31
4,1,9,541.05
4,1,10,506.36
4,1,11,578.99
4,1,12,503.6
4,1,13,399.8
4,1,14,482.99
4,1,15,325.31
4,1,16,145.3
4,1,17,11.86
4,1,18,0.0
4,1,19,0.0
4,1,20,0.0
4,1,21,0.0
4,1,22,0.0
4,1,23,0.0
5,1,0,0.0
5,1,1,0.0
5,1,2,0.0
5,1,3,0.0
5,1,4,0.0
5,1,5,0.0
5,1,6,45.18
5,1,7,213.25
5,1,8,394.96
5,1,9,389.75
5,1,10,571.15
5,1,11,658.18
5,1,12,614.82
5,1,13,589.78
5,1,14,376.2
5,1,15,313.5
5,1,16,146.64
5,1,17,13.27
5,1,18,0.0
5,1,19,0.0
5,1,20,0.0
5,1,21,0.0
5,1,22,0.0
5,1,23,0.0
6,1,0,0.0
6,1,1,0.0
6,1,2,0.0
6,1,3,0.0
6,1,4,0.0
6,1,5,0.0
6,1,6,40.69
6,1,7,152.39
6,1,8,386.74
6,1,9,473.56
6,1,10,406.51
6,1,11,642.98
6,1,12,631.69
6,1,13,563.25
6,1,14,469.47
6,1,15,260.57
6,1,16,172.31
6,1,17,15.53
6,1,18,0.0
6,1,19,0.0
6,1,20,0.0
6,1,21,0.0
6,1,22,0.0
6,1,23,0.0
7,1,0,0.0
7,1,1,0.0
7,1,2,0.0
7,1,3,0.0
7,1,4,0.0
7,1,5,0.0
7,1,6,46.94
7,1,7,222.25
7,1,8,381.85
7,1,9,521.14
7,1,10,612.06
7,1,11,657.61
7,1,12,578.12
7,1,13,597.53
7,1,14,437.98
7,1,15,345.8
7,1,16,152.44
7,1,17,15.38
7,1,18,0.0
7,1,19,0.0
7,1,20,0.0
7,1,21,0.0
7,1,22,0.0
7,1,23,0.0
8,1,0,0.0
8,1,1,0.0
8,1,2,0.0
8,1,3,0.0
8,1,4,0.0
8,1,5,0.0
8,1,6,42.53
8,1,7,143.06
8,1,8,254.99
8,1,9,500.21
8,1,10,527.34
8,1,11,380.34
8,1,12,663.74
8,1,13,611.21
8,1,14,483.4
8,1,15,341.73
8,1,16,176.11
8,1,17,15.74
8,1,18,0.0
8,1,19,0.0
8,1,20,0.0
8,1,21,0.0
8,1,22,0.0
8,1,23,0.0
9,1,0,0.0
9,1,1,0.0
9,1,2,0.0
9,1,3,0.0
9,1,4,0.0
9,1,5,0.0
9,1,6,32.76
9,1,7,213.72
9,1,8,349.54
9,1,9,460.49
9,1,10,528.68
9,1,11,637.74
9,1,12,633.19
9,1,13,521.15
9,1,14,481.25
9,1,15,312.12
9,1,16,172.49
9,1,17,15.3
9,1,18,0.0
9,1,19,0.0
9,1,20,0.0
9,1,21,0.0
9,1,22,0.0
9,1,23,0.0
10,1,0,0.0
10,1,1,0.0
10,1,2,0.0
10,1,3,0.0
10,1,4,0.0
10,1,5,0.0
10,1,6,45.2
10,1,7,158.31
10,1,8,366.71
10,1,9,509.76
10,1,10,612.76
10,1,11,602.49
10,1,12,661.28
10,1,13,460.36
10,1,14,402.89
10,1,15,322.95
10,1,16,157.57
10,1,17,4.32
10,1,18,0.0
10,1,19,0.0
10,1,20,0.0
10,1,21,0.0
10,1,22,0.0
10,1,23,0.0
11,1,0,0.0
11,1,1,0.0
11,1,2,0.0
11,1,3,0.0
11,1,4,0.0
11,1,5,0.0
11,1,6,40.42
11,1,7,229.85
11,1,8,287.48
11,1,9,419.72
11,1,10,594.25
11,1,11,493.05
11,1,12,654.13
11,1,13,596.36
11,1,14,480.33
11,1,15,298.16
11,1,16,142.39
11,1,17,9.88
11,1,18,0.0
11,1,19,0.0
11,1,20,0.0
11,1,21,0.0
11,1,22,0.0
11,1,23,0.0
12,1,0,0.0
12,1,1,0.0
12,1,2,0.0
12,1,3,0.0
12,1,4,0.0
12,1,5,0.0
12,1,6,40.28
12,1,7,207.81
12,1,8,382.92
12,1,9,457.72
12,1,10,574.71
12,1,11,664.08
12,1,12,598.03
12,1,13,536.41
12,1,14,401.53
12,1,15,343.48
12,1,16,128.99
12,1,17,15.94
12,1,18,0.0
12,1,19,0.0
12,1,20,0.0
12,1,21,0.0
12,1,22,0.0
12,1,23,0.0
13,1,0,0.0
13,1,1,0.0
13,1,2,0.0
13,1,3,0.0
13,1,4,0.0
13,1,5,0.0
13,1,6,31.8
13,1,7,196.42
13,1,8,393.48
13,1,9,534.54
13,1,10,618.93
13,1,11,602.69
13,1,12,665.69
13,1,13,599.66
13,1,14,483.52
13,1,15,333.84
13,1,16,174.37
13,1,17,12.9
13,1,18,0.0
13,1,19,0.0
13,1,20,0.0
13,1,21,0.0
13,1,22,0.0
13,1,23,0.0
14,1,0,0.0
14,1,1,0.0
14,1,2,0.0
14,1,3,0.0
14,1,4,0.0
14,1,5,0.0
14,1,6,45.69
14,1,7,216.09
14,1,8,328.04
14,1,9,520.64
14,1,10,464.31
14,1,11,597.33
14,1,12,557.71
14,1,13,607.56
14,1,14,440.89
14,1,15,290.98
14,1,16,110.81
14,1,17,16.37
14,1,18,0.0
14,1,19,0.0
14,1,20,0.0
14,1,21,0.0
14,1,22,0.0
14,1,23,0.0
15,1,0,0.0
15,1,1,0.0
15,1,2,0.0
15,1,3,0.0
15,1,4,0.0
15,1,5,0.0
15,1,6,45.62
15,1,7,207.38
15,1,8,402.04
15,1,9,341.62
15,1,10,624.0
15,1,11,646.57
15,1,12,646.63
15,1,13,584.32
15,1,14,481.91
15,1,15,154.72
15,1,16,165.34
15,1,17,12.03
15,1,18,0.0
15,1,19,0.0
15,1,20,0.0
15,1,21,0.0
15,1,22,0.0
15,1,23,0.0
16,1,0,0.0
16,1,1,0.0
16,1,2,0.0
16,1,3,0.0
16,1,4,0.0
16,1,5,0.0
16,1,6,37.61
16,1,7,189.49
16,1,8,346.84
16,1,9,431.63
16,1,10,508.28
16,1,11,626.93
16,1,12,408.4
16,1,13,601.95
16,1,14,454.82
16,1,15,312.82
16,1,16,170.7
16,1,17,15.13
16,1,18,0.0
16,1,19,0.0
16,1,20,0.0
16,1,21,0.0
16,1,22,0.0
16,1,23,0.0
17,1,0,0.0
17,1,1,0.0
17,1,2,0.0
17,1,3,0.0
17,1,4,0.0
17,1,5,0.0
17,1,6,45.79
17,1,7,219.09
17,1,8,390.02
17,1,9,429.95
17,1,10,624.66
17,1,11,608.65
17,1,12,458.07
17,1,13,602.09
17,1,14,493.25
17,1,15,261.23
17,1,16,160.82
17,1,17,15.92
17,1,18,0.0
17,1,19,0.0
17,1,20,0.0
17,1,21,0.0
17,1,22,0.0
17,1,23,0.0
18,1,0,0.0
18,1,1,0.0
18,1,2,0.0
18,1,3,0.0
18,1,4,0.0
18,1,5,0.0
18,1,6,45.29
18,1,7,159.03
18,1,8,200.1
18,1,9,521.56
18,1,10,561.94
18,1,11,599.16
18,1,12,643.18
18,1,13,560.24
18,1,14,458.21
18,1,15,263.41
18,1,16,107.92
18,1,17,16.44
18,1,18,0.0
18,1,19,0.0
18,1,20,0.0
18,1,21,0.0
18,1,22,0.0
18,1,23,0.0
19,1,0,0.0
19,1,1,0.0
19,1,2,0.0
19,1,3,0.0
19,1,4,0.0
19,1,5,0.0
19,1,6,45.36
19,1,7,225.33
19,1,8,357.17
19,1,9,400.89
19,1,10,375.35
19,1,11,598.96
19,1,12,621.15
19,1,13,592.41
19,1,14,450.38
19,1,15,316.64
19,1,16,171.98
19,1,17,12.22
19,1,18,0.0
19,1,19,0.0
19,1,20,0.0
19,1,21,0.0
19,1,22,0.0
19,1,23,0.0
20,1,0,0.0
20,1,1,0.0
20,1,2,0.0
20,1,3,0.0
20,1,4,0.0
20,1,5,0.0
20,1,6,41.78
20,1,7,220.94
20,1,8,353.31
20,1,9,331.32
20,1,10,539.1
20,1,11,416.51
20,1,12,436.68
20,1,13,517.88
20,1,14,395.02
20,1,15,333.27
20,1,16,159.68
20,1,17,13.68
20,1,18,0.0
20,1,19,0.0
20,1,20,0.0
20,1,21,0.0
20,1,22,0.0
20,1,23,0.0
21,1,0,0.0
21,1,1,0.0
21,1,2,0.0
21,1,3,0.0
21,1,4,0.0
21,1,5,0.0
21,1,6,43.65
21,1,7,195.91
21,1,8,345.21
21,1,9,295.8
21,1,10,523.81
21,1,11,643.55
21,1,12,649.68
21,1,13,595.8
21,1,14,502.19
21,1,15,306.04
21,1,16,140.75
21,1,17,15.16
21,1,18,0.0
21,1,19,0.0
21,1,20,0.0
21,1,21,0.0
21,1,22,0.0
21,1,23,0.0
22,1,0,0.0
22,1,1,0.0
22,1,2,0.0
22,1,3,0.0
22,1,4,0.0
22,1,5,0.0
22,1,6,35.33
22,1,7,195.98
22,1,8,350.32
22,1,9,421.33
22,1,10,511.64
22,1,11,666.38
22,1,12,536.74
22,1,13,532.53
