parse_ms,calc_ms,pwm_ms,ina_ms,tx_ms,tick_ms
0.079667,0.021653,0.019903,8.517208,0.601722,9.240153
0.079667,0.021653,0.019903,8.517167,0.596681,9.235069
0.079667,0.021653,0.019903,8.517125,0.600542,9.238889
0.079667,0.022833,0.019903,8.517111,0.602792,9.242306
0.079667,0.021653,0.019903,8.517153,0.596722,9.235097
0.079667,0.021653,0.019903,8.517194,0.596639,9.235056
0.079667,0.021653,0.019903,8.517111,0.601764,9.240097
0.080931,0.021653,0.019903,8.517111,0.604208,9.243806
0.079667,0.021653,0.019903,8.517194,0.596653,9.235069
0.080931,0.021653,0.019903,8.517111,0.596722,9.236319
0.079667,0.021653,0.019903,8.517167,0.600542,9.238931
0.079667,0.021653,0.019903,8.517208,0.600542,9.238972
0.079667,0.021653,0.019903,8.517194,0.596681,9.235097
0.079667,0.021653,0.019903,8.517111,0.604125,9.242458
0.079667,0.021653,0.019903,8.517194,0.601875,9.240292
0.079667,0.021653,0.019903,8.517167,0.600514,9.238903
0.079667,0.021653,0.019903,8.517208,0.595458,9.233889
0.079667,0.021653,0.019903,8.517125,0.602875,9.241222
0.079667,0.021653,0.019903,8.517167,0.600542,9.238931
0.079667,0.021625,0.019903,8.517194,0.595458,9.233847
0.079667,0.021653,0.019903,8.517194,0.596639,9.235056
0.079667,0.021653,0.019903,8.517194,0.601917,9.240333
0.079667,0.021653,0.019903,8.517208,0.601722,9.240153
0.079667,0.021653,0.019903,8.517167,0.596681,9.235069
0.079667,0.021653,0.019903,8.517167,0.595458,9.233847
0.079667,0.021653,0.021250,8.517111,0.600542,9.240222
0.079667,0.021653,0.021167,8.517111,0.600542,9.240139
0.079667,0.021653,0.019903,8.517153,0.596639,9.235014
0.079667,0.021653,0.019903,8.517125,0.604208,9.242556
0.080931,0.021653,0.019903,8.517194,0.601764,9.241444
0.079667,0.021653,0.019903,8.517167,0.604083,9.242472
0.080889,0.021653,0.019903,8.517111,0.596681,9.236236
0.079667,0.021653,0.019903,8.517125,0.602875,9.241222
0.079667,0.021653,0.019903,8.517167,0.600542,9.238931
0.079667,0.021653,0.019903,8.517167,0.600500,9.238889
0.079667,0.021653,0.019903,8.517208,0.595458,9.233889
0.079667,0.021653,0.019903,8.517194,0.601764,9.240181
0.080889,0.021653,0.019903,8.517194,0.604097,9.243736
0.079667,0.021653,0.019903,8.517125,0.596681,9.235028
0.079667,0.021653,0.019903,8.517125,0.595458,9.233806
0.079667,0.021653,0.019903,8.517125,0.600542,9.238889
0.079667,0.021653,0.019903,8.517153,0.601681,9.240056
0.079667,0.021653,0.019903,8.517194,0.596597,9.235014
0.080889,0.021653,0.019903,8.517194,0.602028,9.241667
0.079667,0.021653,0.019903,8.517125,0.600542,9.238889
0.079667,0.021653,0.019903,8.517167,0.600542,9.238931
0.079667,0.021653,0.019903,8.517111,0.596639,9.234972
0.079667,0.021653,0.019903,8.517208,0.602792,9.241222
0.079667,0.021653,0.019903,8.517208,0.600542,9.238972
0.080931,0.021653,0.019903,8.517194,0.596681,9.236361
0.079667,0.021653,0.019903,8.517167,0.596681,9.235069
0.079667,0.021653,0.019903,8.517153,0.601722,9.240097
0.079667,0.021653,0.019903,8.517167,0.601889,9.240278
0.079667,0.021653,0.019903,8.517125,0.595458,9.233806
0.079667,0.021653,0.019903,8.517208,0.595458,9.233889
0.079667,0.021653,0.019903,8.517125,0.601806,9.240153
0.079667,0.021653,0.019903,8.517208,0.601806,9.240236
0.079667,0.021653,0.019903,8.517208,0.595458,9.233889
0.079667,0.021653,0.019903,8.517153,0.596722,9.235097
0.079667,0.021653,0.019903,8.517208,0.604139,9.242569
0.079667,0.021653,0.019903,8.517167,0.601764,9.240153
0.079667,0.021653,0.019903,8.517167,0.595458,9.233847
0.079667,0.021653,0.019903,8.517125,0.600542,9.238889
0.079667,0.021653,0.019903,8.517153,0.601764,9.240139
0.079667,0.021653,0.019903,8.517111,0.601847,9.240181
0.079667,0.021653,0.019903,8.517208,0.596806,9.235236
0.079667,0.021653,0.019903,8.517208,0.602917,9.241347
0.079667,0.021653,0.019903,8.517153,0.601722,9.240097
0.079667,0.021653,0.019903,8.517125,0.595458,9.233806
0.079667,0.021653,0.019903,8.517194,0.596778,9.235194
0.079667,0.021653,0.019903,8.517111,0.604097,9.242431
0.079667,0.021653,0.019903,8.517111,0.601764,9.240097
0.079667,0.021653,0.019903,8.517208,0.595458,9.233889
0.079667,0.021653,0.019903,8.517153,0.595458,9.233833
0.079667,0.021653,0.019903,8.517153,0.601806,9.240181
0.079667,0.021653,0.019903,8.517208,0.600542,9.238972
0.079667,0.021653,0.019903,8.517125,0.595458,9.233806
0.079667,0.021653,0.019903,8.517194,0.604139,9.242556
0.079667,0.021653,0.019903,8.517111,0.601847,9.240181
0.080889,0.021653,0.019903,8.517194,0.601694,9.241333
0.079667,0.021653,0.019903,8.517194,0.596681,9.235097
0.079667,0.021653,0.019903,8.517125,0.604097,9.242444
0.079667,0.021653,0.019903,8.517167,0.600542,9.238931
0.079667,0.021653,0.019903,8.517111,0.596681,9.235014
0.079667,0.021653,0.019903,8.517111,0.596861,9.235194
0.079667,0.021653,0.019903,8.517167,0.602792,9.241181
0.079667,0.021653,0.019903,8.517194,0.601806,9.240222
0.079667,0.021653,0.019903,8.517153,0.596681,9.235056
0.079667,0.021653,0.019903,8.517125,0.596639,9.234986
0.079667,0.021653,0.019903,8.517167,0.602792,9.241181
0.079667,0.021653,0.019903,8.517167,0.600542,9.238931
0.079667,0.021653,0.019903,8.517194,0.596681,9.235097
0.079667,0.021653,0.019903,8.517111,0.604375,9.242708
0.079667,0.021653,0.019903,8.517208,0.601806,9.240236
0.079667,0.021639,0.019903,8.517194,0.600569,9.238972
0.079667,0.021653,0.019903,8.517194,0.596681,9.235097
0.079667,0.021653,0.019903,8.517208,0.602917,9.241347
0.079667,0.021653,0.019903,8.517208,0.600542,9.238972
0.079667,0.021653,0.019903,8.517167,0.600500,9.238889
0.079667,0.021653,0.021083,8.517111,0.595458,9.234972
0.079667,0.021653,0.019903,8.517167,0.600542,9.238931
0.079667,0.021653,0.019903,8.517153,0.601806,9.240181
0.079667,0.021653,0.021139,8.517153,0.595458,9.235069
0.079667,0.021653,0.019903,8.517111,0.596681,9.235014
0.079667,0.021653,0.019903,8.517111,0.604097,9.242431
0.079667,0.021653,0.019903,8.517125,0.600542,9.238889
0.079667,0.021653,0.019903,8.517125,0.595458,9.233806
0.079667,0.021667,0.019903,8.517194,0.600722,9.239153
0.079667,0.021653,0.019903,8.517153,0.601806,9.240181
0.079667,0.021653,0.019903,8.517167,0.601764,9.240153
0.079667,0.021653,0.019903,8.517167,0.596597,9.234986
0.079667,0.021653,0.019903,8.517125,0.604056,9.242403
0.079667,0.021653,0.019903,8.517167,0.602833,9.241222
0.079667,0.021625,0.019903,8.517153,0.595458,9.233806
0.079667,0.021653,0.019903,8.517125,0.595458,9.233806
0.079667,0.021653,0.019903,8.517153,0.601806,9.240181
0.079667,0.021653,0.019903,8.517194,0.601681,9.240097
0.079667,0.021653,0.019903,8.517153,0.596681,9.235056
0.080931,0.021653,0.019903,8.517194,0.596722,9.236403
0.079667,0.021653,0.019903,8.517125,0.604153,9.242500
0.079667,0.021653,0.019903,8.517208,0.600542,9.238972
0.079667,0.021653,0.019903,8.517111,0.596833,9.235167
0.079667,0.021653,0.019903,8.517111,0.596639,9.234972
0.079667,0.021653,0.019903,8.517111,0.604139,9.242472
0.080931,0.021653,0.019903,8.517194,0.601764,9.241444
0.079667,0.021653,0.019903,8.517208,0.595458,9.233889
0.079667,0.021653,0.021278,8.517153,0.602833,9.242583
0.079667,0.021653,0.019903,8.517194,0.601722,9.240139
0.080889,0.021653,0.019903,8.517111,0.601722,9.241278
0.079667,0.021653,0.019903,8.517208,0.595458,9.233889
0.079667,0.021653,0.019903,8.517153,0.602833,9.241208
0.079667,0.021653,0.019903,8.517194,0.601764,9.240181
0.079667,0.021653,0.019903,8.517194,0.596806,9.235222
0.080889,0.021653,0.019903,8.517111,0.596722,9.236278
0.079667,0.021653,0.019903,8.517167,0.601819,9.240208
