ina219_read_ms,uart_parse_ms,vspo_compute_ms,blend_ms,pwm_update_ms,uart_tx_ms,full_artemis_tick_ms,loop_period_ms
8.486349,0.023475,0.017277,0.005596,0.001030,2.630775,11.247081,100.006637
8.512994,0.024010,0.018221,0.006863,0.000815,2.610261,11.277038,100.012701
8.606659,0.025237,0.011414,0.007366,0.000788,2.610537,11.351393,100.004783
8.307819,0.021873,0.020248,0.006989,0.000622,2.609670,11.019849,100.014368
8.579670,0.020957,0.017822,0.005243,0.000926,2.580550,11.278159,99.965015
8.380325,0.020453,0.012721,0.006898,0.000846,2.594414,11.104252,99.960000
8.601513,0.028116,0.019576,0.005143,0.000836,2.627800,11.372351,99.960000
8.598832,0.026344,0.019885,0.005653,0.000836,2.617887,11.308578,99.963100
8.600896,0.020209,0.020576,0.006965,0.000890,2.588488,11.299482,99.997905
8.591642,0.024854,0.017816,0.006239,0.000569,2.612579,11.301431,99.992341
8.571832,0.017628,0.018886,0.007853,0.000675,2.602658,11.268623,99.984977
8.443440,0.024352,0.015605,0.006840,0.000769,2.615326,11.188352,100.012970
8.471070,0.018047,0.022244,0.006210,0.000925,2.610181,11.210411,100.007652
8.661121,0.021446,0.017178,0.007142,0.000875,2.608068,11.349464,99.990411
8.447211,0.023002,0.021842,0.006109,0.000941,2.588567,11.142080,100.023043
8.457971,0.012303,0.019742,0.007313,0.000860,2.603577,11.201820,100.002976
8.458918,0.025473,0.017518,0.003819,0.000899,2.595782,11.205894,99.999297
8.487733,0.021648,0.022015,0.005917,0.000707,2.604286,11.238645,100.031398
8.483441,0.018672,0.016287,0.005089,0.000731,2.621801,11.202536,100.004107
8.535987,0.019702,0.019292,0.005860,0.000776,2.614081,11.278542,99.960000
8.500719,0.022586,0.018635,0.005434,0.000769,2.616580,11.266184,99.990279
8.471404,0.021377,0.017848,0.007922,0.000906,2.619982,11.217843,100.042840
8.452040,0.023573,0.018783,0.006571,0.000811,2.591128,11.164217,99.960000
8.497727,0.023452,0.020302,0.005893,0.000813,2.604459,11.219211,100.023430
8.415655,0.025473,0.017140,0.006870,0.000800,2.623439,11.175444,100.004140
8.523010,0.023267,0.016792,0.003530,0.001016,2.626528,11.292351,100.014875
8.660751,0.016467,0.017659,0.007342,0.000741,2.575656,11.394182,100.015530
8.452616,0.017109,0.016624,0.003937,0.000902,2.592885,11.161782,100.033417
