grid,alpha,deadband,cooldown,eta_track_pct
alpha_vs_deadband,0.15,0.05,20,94.642
alpha_vs_deadband,0.15,0.10,20,94.820
alpha_vs_deadband,0.15,0.15,20,94.959
alpha_vs_deadband,0.15,0.20,20,94.965
alpha_vs_deadband,0.15,0.25,20,94.389
alpha_vs_cooldown,0.15,0.15,0,93.938
alpha_vs_cooldown,0.15,0.15,10,94.196
alpha_vs_cooldown,0.15,0.15,20,94.959
alpha_vs_cooldown,0.15,0.15,30,94.811
alpha_vs_deadband,0.25,0.05,20,94.575
alpha_vs_deadband,0.25,0.10,20,95.101
alpha_vs_deadband,0.25,0.15,20,94.658
alpha_vs_deadband,0.25,0.20,20,95.279
alpha_vs_deadband,0.25,0.25,20,94.878
alpha_vs_cooldown,0.25,0.15,0,93.997
alpha_vs_cooldown,0.25,0.15,10,94.890
alpha_vs_cooldown,0.25,0.15,20,94.658
alpha_vs_cooldown,0.25,0.15,30,95.320
alpha_vs_deadband,0.35,0.05,20,94.452
alpha_vs_deadband,0.35,0.10,20,95.385
alpha_vs_deadband,0.35,0.15,20,95.060
alpha_vs_deadband,0.35,0.20,20,95.082
alpha_vs_deadband,0.35,0.25,20,94.699
alpha_vs_cooldown,0.35,0.15,0,93.684
alpha_vs_cooldown,0.35,0.15,10,95.782
alpha_vs_cooldown,0.35,0.15,20,95.060
alpha_vs_cooldown,0.35,0.15,30,94.749
alpha_vs_deadband,0.45,0.05,20,94.778
alpha_vs_deadband,0.45,0.10,20,95.339
alpha_vs_deadband,0.45,0.15,20,95.142
alpha_vs_deadband,0.45,0.20,20,95.502
alpha_vs_deadband,0.45,0.25,20,94.661
alpha_vs_cooldown,0.45,0.15,0,93.466
alpha_vs_cooldown,0.45,0.15,10,95.222
alpha_vs_cooldown,0.45,0.15,20,95.142
alpha_vs_cooldown,0.45,0.15,30,94.439
alpha_vs_deadband,0.55,0.05,20,94.838
alpha_vs_deadband,0.55,0.10,20,94.691
alpha_vs_deadband,0.55,0.15,20,95.466
alpha_vs_deadband,0.55,0.20,20,95.541
alpha_vs_deadband,0.55,0.25,20,95.047
alpha_vs_cooldown,0.55,0.15,0,91.678
alpha_vs_cooldown,0.55,0.15,10,95.070
alpha_vs_cooldown,0.55,0.15,20,95.466
alpha_vs_cooldown,0.55,0.15,30,94.785
