date,time,hour_decimal,elapsed_s,lux,raw_irradiance_wm2,glass_corrected_irr_wm2,saturation_flag,blue_channel,temp_c,daytime_flag,thermal_gap_flag,day_id
2026-07-09,01:07:08,1.11889,9,13.33,0.1149,0.1234,0,113,48.0,0,0,2026-07-09
2026-07-09,01:07:18,1.12167,19,13.33,0.1149,0.1234,0,111,48.0,0,0,2026-07-09
2026-07-09,01:07:28,1.12444,29,13.33,0.1149,0.1234,0,131,48.0,0,0,2026-07-09
2026-07-09,01:07:38,1.12722,39,13.33,0.1149,0.1234,0,130,48.0,0,0,2026-07-09
2026-07-09,01:07:48,1.13,49,13.33,0.1149,0.1234,0,130,48.0,0,0,2026-07-09
2026-07-09,01:07:58,1.13278,59,13.33,0.1149,0.1234,0,134,49.0,0,0,2026-07-09
2026-07-09,01:08:08,1.13556,69,13.33,0.1149,0.1234,0,133,48.0,0,0,2026-07-09
2026-07-09,01:08:18,1.13833,79,13.33,0.1149,0.1234,0,128,48.0,0,0,2026-07-09
2026-07-09,01:08:28,1.14111,89,13.33,0.1149,0.1234,0,131,48.0,0,0,2026-07-09
2026-07-09,01:08:38,1.14389,99,13.33,0.1149,0.1234,0,119,48.0,0,0,2026-07-09
2026-07-09,09:32:15,9.5375,8,0.0,0.0,0.0,0,119,32.0,0,0,2026-07-09
2026-07-09,09:32:25,9.54028,18,0.0,0.0,0.0,0,120,33.0,0,0,2026-07-09
2026-07-09,09:32:35,9.54306,28,3.33,0.0287,0.0308,0,111,35.0,0,0,2026-07-09
2026-07-09,09:32:45,9.54583,38,6.67,0.0575,0.0617,0,114,36.0,0,0,2026-07-09
2026-07-09,09:32:55,9.54861,48,16.67,0.1437,0.1543,0,121,36.0,0,0,2026-07-09
2026-07-09,09:33:05,9.55139,58,16.67,0.1437,0.1543,0,121,37.0,0,0,2026-07-09
2026-07-09,09:33:15,9.55417,68,13.33,0.1149,0.1234,0,124,38.0,0,0,2026-07-09
2026-07-09,09:33:25,9.55694,78,3.33,0.0287,0.0308,0,132,40.0,0,0,2026-07-09
2026-07-09,09:33:35,9.55972,88,13.33,0.1149,0.1234,0,116,40.0,0,0,2026-07-09
2026-07-09,09:33:50,9.56389,103,13.33,0.1149,0.1234,0,116,41.0,0,0,2026-07-09
2026-07-09,09:34:00,9.56667,113,16.67,0.1437,0.1543,0,120,42.0,0,0,2026-07-09
2026-07-09,09:34:16,9.57111,130,16.67,0.1437,0.1543,0,122,42.0,0,0,2026-07-09
2026-07-09,09:34:26,9.57389,140,16.67,0.1437,0.1543,0,115,43.0,0,0,2026-07-09
2026-07-09,09:34:36,9.57667,150,16.67,0.1437,0.1543,0,121,43.0,0,0,2026-07-09
2026-07-09,09:34:46,9.57944,160,16.67,0.1437,0.1543,0,118,44.0,0,0,2026-07-09
2026-07-09,09:34:56,9.58222,170,16.67,0.1437,0.1543,0,115,44.0,0,0,2026-07-09
2026-07-09,09:35:07,9.58528,180,16.67,0.1437,0.1543,0,115,45.0,0,0,2026-07-09
2026-07-09,09:35:17,9.58806,190,16.67,0.1437,0.1543,0,117,45.0,0,0,2026-07-09
2026-07-09,09:35:27,9.59083,200,16.67,0.1437,0.1543,0,115,46.0,0,0,2026-07-09
2026-07-09,09:35:37,9.59361,210,16.67,0.1437,0.1543,0,117,46.0,0,0,2026-07-09
2026-07-09,09:36:04,9.60111,10,20.0,0.1724,0.1851,0,126,46.0,0,0,2026-07-09
2026-07-09,09:36:14,9.60389,20,20.0,0.1724,0.1851,0,125,46.0,0,0,2026-07-09
2026-07-09,09:36:24,9.60667,30,20.0,0.1724,0.1851,0,114,47.0,0,0,2026-07-09
2026-07-09,09:36:38,9.61056,44,20.0,0.1724,0.1851,0,115,47.0,0,0,2026-07-09
2026-07-09,09:36:48,9.61333,54,16.67,0.1437,0.1543,0,115,47.0,0,0,2026-07-09
2026-07-09,09:36:58,9.61611,64,16.67,0.1437,0.1543,0,122,48.0,0,0,2026-07-09
2026-07-09,09:37:08,9.61889,74,16.67,0.1437,0.1543,0,120,48.0,0,0,2026-07-09
2026-07-09,09:37:18,9.62167,84,16.67,0.1437,0.1543,0,119,49.0,0,0,2026-07-09
2026-07-09,09:37:31,9.62528,98,16.67,0.1437,0.1543,0,123,50.0,0,0,2026-07-09
2026-07-09,09:37:41,9.62806,108,16.67,0.1437,0.1543,0,122,49.0,0,0,2026-07-09
2026-07-09,15:36:14,15.60389,8,53.33,0.4598,0.4937,0,143,31.0,0,0,2026-07-09
2026-07-09,15:36:24,15.60667,18,60.0,0.5172,0.5553,0,128,32.0,0,0,2026-07-09
2026-07-09,15:36:38,15.61056,33,53.33,0.4598,0.4937,0,125,35.0,0,0,2026-07-09
2026-07-09,15:36:48,15.61333,43,53.33,0.4598,0.4937,0,130,36.0,0,0,2026-07-09
2026-07-09,15:36:58,15.61611,53,123.33,1.0632,1.1416,0,129,36.0,0,0,2026-07-09
2026-07-09,15:37:08,15.61889,63,0.0,0.0,0.0,0,125,37.0,0,0,2026-07-09
2026-07-09,15:37:18,15.62167,73,123.33,1.0632,1.1416,0,129,38.0,0,0,2026-07-09
2026-07-09,15:37:28,15.62444,83,123.33,1.0632,1.1416,0,132,39.0,0,0,2026-07-09
2026-07-09,15:37:38,15.62722,93,123.33,1.0632,1.1416,0,126,39.0,0,0,2026-07-09
2026-07-09,15:37:48,15.63,103,123.33,1.0632,1.1416,0,123,40.0,0,0,2026-07-09
2026-07-09,15:37:58,15.63278,113,123.33,1.0632,1.1416,0,125,40.0,0,0,2026-07-09
2026-07-09,15:38:08,15.63556,123,123.33,1.0632,1.1416,0,125,40.0,0,0,2026-07-09
2026-07-09,15:38:18,15.63833,133,123.33,1.0632,1.1416,0,129,41.0,0,0,2026-07-09
2026-07-09,15:38:28,15.64111,143,123.33,1.0632,1.1416,0,128,42.0,0,0,2026-07-09
2026-07-09,15:38:38,15.64389,153,123.33,1.0632,1.1416,0,125,42.0,0,0,2026-07-09
2026-07-09,15:38:48,15.64667,163,123.33,1.0632,1.1416,0,128,43.0,0,0,2026-07-09
2026-07-09,15:38:58,15.64944,173,123.33,1.0632,1.1416,0,127,43.0,0,0,2026-07-09
2026-07-09,15:39:08,15.65222,183,123.33,1.0632,1.1416,0,127,43.0,0,0,2026-07-09
2026-07-09,15:39:18,15.655,193,123.33,1.0632,1.1416,0,124,44.0,0,0,2026-07-09
2026-07-09,15:39:28,15.65778,203,123.33,1.0632,1.1416,0,125,44.0,0,0,2026-07-09
2026-07-09,15:39:38,15.66056,213,123.33,1.0632,1.1416,0,126,45.0,0,0,2026-07-09
2026-07-09,15:39:48,15.66333,223,0.0,0.0,0.0,0,130,45.0,0,0,2026-07-09
2026-07-09,15:39:58,15.66611,233,123.33,1.0632,1.1416,0,129,45.0,0,0,2026-07-09
2026-07-09,15:40:08,15.66889,243,123.33,1.0632,1.1416,0,127,46.0,0,0,2026-07-09
2026-07-09,15:40:18,15.67167,253,123.33,1.0632,1.1416,0,127,46.0,0,0,2026-07-09
2026-07-09,15:40:28,15.67444,263,123.33,1.0632,1.1416,0,121,46.0,0,0,2026-07-09
2026-07-09,15:40:38,15.67722,273,123.33,1.0632,1.1416,0,122,46.0,0,0,2026-07-09
2026-07-09,15:40:48,15.68,283,123.33,1.0632,1.1416,0,121,47.0,0,0,2026-07-09
2026-07-09,15:40:58,15.68278,293,123.33,1.0632,1.1416,0,124,46.0,0,0,2026-07-09
2026-07-09,15:41:08,15.68556,303,123.33,1.0632,1.1416,0,123,47.0,0,0,2026-07-09
2026-07-09,15:41:18,15.68833,313,123.33,1.0632,1.1416,0,124,47.0,0,0,2026-07-09
2026-07-09,15:41:28,15.69111,323,123.33,1.0632,1.1416,0,124,47.0,0,0,2026-07-09
2026-07-09,15:41:38,15.69389,333,123.33,1.0632,1.1416,0,123,47.0,0,0,2026-07-09
2026-07-09,15:41:48,15.69667,343,123.33,1.0632,1.1416,0,126,47.0,0,0,2026-07-09
2026-07-09,15:41:58,15.69944,353,123.33,1.0632,1.1416,0,125,47.0,0,0,2026-07-09
2026-07-09,15:42:08,15.70222,363,123.33,1.0632,1.1416,0,128,47.0,0,0,2026-07-09
2026-07-09,15:42:18,15.705,373,123.33,1.0632,1.1416,0,124,47.0,0,0,2026-07-09
2026-07-09,15:42:28,15.70778,383,123.33,1.0632,1.1416,0,121,48.0,0,0,2026-07-09
2026-07-09,15:42:38,15.71056,393,123.33,1.0632,1.1416,0,126,48.0,0,0,2026-07-09
