date,time,elapsed_s,lux,irradiance_wm2,blue_channel,temp_c
2026-07-10,05:00:05,0,13.33,0.1149,115,30.00
2026-07-10,05:00:14,10,13.33,0.1149,156,29.00
2026-07-10,05:00:24,20,13.33,0.1149,125,28.00
2026-07-10,05:00:34,30,13.33,0.1149,123,29.00
2026-07-10,05:00:44,40,13.33,0.1149,126,29.00
2026-07-10,05:00:54,50,16.67,0.1437,125,28.00
2026-07-10,05:01:04,60,13.33,0.1149,119,28.00
2026-07-10,05:01:14,70,16.67,0.1437,128,28.00
2026-07-10,05:01:24,80,16.67,0.1437,129,29.00
2026-07-10,05:01:34,90,16.67,0.1437,135,28.00
2026-07-10,05:01:44,100,16.67,0.1437,140,28.00
2026-07-10,05:01:54,110,20.00,0.1724,148,28.00
2026-07-10,05:02:04,120,20.00,0.1724,149,28.00
2026-07-10,05:02:14,130,20.00,0.1724,158,28.00
2026-07-10,05:02:24,140,20.00,0.1724,159,29.00
2026-07-10,05:02:34,150,23.33,0.2011,132,29.00
2026-07-10,05:02:44,160,23.33,0.2011,125,29.00
2026-07-10,05:02:54,170,26.67,0.2299,132,28.00
2026-07-10,05:03:04,180,26.67,0.2299,132,28.00
2026-07-10,05:03:14,190,30.00,0.2586,132,28.00
2026-07-10,05:03:24,200,30.00,0.2586,132,28.00
2026-07-10,05:03:34,210,30.00,0.2586,125,28.00
2026-07-10,05:03:43,220,30.00,0.2586,127,28.00
2026-07-10,05:03:53,230,33.33,0.2874,127,28.00
2026-07-10,05:04:03,240,33.33,0.2874,128,28.00
2026-07-10,05:04:13,250,33.33,0.2874,131,28.00
2026-07-10,05:04:23,260,33.33,0.2874,129,29.00
2026-07-10,05:04:33,270,36.67,0.3161,128,29.00
2026-07-10,05:04:43,280,36.67,0.3161,129,28.00
2026-07-10,05:04:53,290,40.00,0.3448,128,29.00
2026-07-10,05:05:03,300,36.67,0.3161,138,29.00
2026-07-10,05:05:13,310,40.00,0.3448,128,28.00
2026-07-10,05:05:23,320,40.00,0.3448,128,29.00
2026-07-10,05:05:33,330,40.00,0.3448,130,29.00
2026-07-10,05:05:43,340,40.00,0.3448,129,29.00
2026-07-10,05:05:53,350,43.33,0.3736,130,29.00
2026-07-10,05:06:03,360,43.33,0.3736,128,28.00
2026-07-10,05:06:13,370,46.67,0.4023,134,28.00
2026-07-10,05:06:23,380,46.67,0.4023,122,29.00
2026-07-10,05:06:33,390,50.00,0.4310,134,29.00
2026-07-10,05:06:43,400,50.00,0.4310,136,29.00
2026-07-10,05:06:53,410,53.33,0.4598,125,28.00
2026-07-10,05:07:03,420,53.33,0.4598,125,29.00
2026-07-10,05:07:13,430,56.67,0.4885,129,29.00
2026-07-10,05:07:23,440,56.67,0.4885,128,28.00
2026-07-10,05:07:33,450,60.00,0.5172,134,29.00
2026-07-10,05:07:43,460,60.00,0.5172,132,29.00
2026-07-10,05:07:53,470,63.33,0.5460,135,29.00
2026-07-10,05:08:03,480,66.67,0.5747,131,29.00
2026-07-10,05:08:13,490,70.00,0.6034,128,29.00
2026-07-10,05:08:23,500,70.00,0.6034,128,29.00
2026-07-10,05:08:33,510,73.33,0.6322,132,29.00
2026-07-10,05:08:43,520,73.33,0.6322,123,29.00
2026-07-10,05:08:53,530,73.33,0.6322,132,29.00
2026-07-10,05:09:03,540,76.67,0.6609,131,29.00
2026-07-10,05:09:13,550,80.00,0.6897,131,28.00
2026-07-10,05:09:23,560,80.00,0.6897,127,28.00
2026-07-10,05:09:33,570,80.00,0.6897,125,29.00
2026-07-10,05:09:43,580,80.00,0.6897,130,28.00
2026-07-10,05:09:53,590,83.33,0.7184,129,29.00
2026-07-10,05:10:03,600,83.33,0.7184,130,29.00
2026-07-10,05:10:13,610,83.33,0.7184,128,29.00
2026-07-10,05:10:23,620,83.33,0.7184,129,29.00
2026-07-10,05:10:33,630,86.67,0.7471,132,29.00
2026-07-10,05:10:43,640,86.67,0.7471,126,29.00
2026-07-10,05:10:53,650,86.67,0.7471,135,29.00
2026-07-10,05:11:03,660,86.67,0.7471,128,29.00
2026-07-10,05:11:13,670,90.00,0.7759,125,29.00
2026-07-10,05:11:23,680,90.00,0.7759,130,29.00
