time_minutes,hour_decimal,Jan_DOY015,Apr_DOY105,Jul_DOY196,Sep_DOY258,Oct_DOY289,Dec_DOY350
0,0.0,0.0,,,,,
1,0.0167,0.0,,,,,
2,0.0333,0.0,,,,,
3,0.05,0.0,,,,,
4,0.0667,0.0,,,,,
5,0.0833,0.0,,,,,
6,0.1,0.0,,,,,
7,0.1167,0.0,,,,,
8,0.1333,0.0,,,,,
9,0.15,0.0,,,,,
10,0.1667,0.0,,,,,
11,0.1833,0.0,,,,,
12,0.2,0.0,,,,,
13,0.2167,0.0,,,,,
14,0.2333,0.0,,,,,
15,0.25,0.0,,,,,
16,0.2667,0.0,,,,,
17,0.2833,0.0,,,,,
18,0.3,0.0,,,,,
19,0.3167,0.0,,,,,
20,0.3333,0.0,,,,,
21,0.35,0.0,,,,,
22,0.3667,0.0,,,,,
23,0.3833,0.0,,,,,
24,0.4,0.0,,,,,
25,0.4167,0.0,,,,,
26,0.4333,0.0,,,,,
27,0.45,0.0,,,,,
28,0.4667,0.0,,,,,
29,0.4833,0.0,,,,,
30,0.5,0.0,,,,,
31,0.5167,0.0,,,,,
32,0.5333,0.0,,,,,
33,0.55,0.0,,,,,
34,0.5667,0.0,,,,,
35,0.5833,0.0,,,,,
36,0.6,0.0,,,,,
37,0.6167,0.0,,,,,
38,0.6333,0.0,,,,,
39,0.65,0.0,,,,,
40,0.6667,0.0,,,,,
41,0.6833,0.0,,,,,
42,0.7,0.0,,,,,
43,0.7167,0.0,,,,,
44,0.7333,0.0,,,,,
45,0.75,0.0,,,,,
46,0.7667,0.0,,,,,
47,0.7833,0.0,,,,,
48,0.8,0.0,,,,,
49,0.8167,0.0,,,,,
50,0.8333,0.0,,,,,
51,0.85,0.0,,,,,
52,0.8667,0.0,,,,,
53,0.8833,0.0,,,,,
54,0.9,0.0,,,,,
55,0.9167,0.0,,,,,
56,0.9333,0.0,,,,,
57,0.95,0.0,,,,,
58,0.9667,0.0,,,,,
59,0.9833,0.0,,,,,
60,1.0,0.0,,,,,
61,1.0167,0.0,,,,,
62,1.0333,0.0,,,,,
63,1.05,0.0,,,,,
64,1.0667,0.0,,,,,
65,1.0833,0.0,,,,,
66,1.1,0.0,,,,,
67,1.1167,0.0,,,,,
68,1.1333,0.0,,,,,
69,1.15,0.0,,,,,
70,1.1667,0.0,,,,,
71,1.1833,0.0,,,,,
72,1.2,0.0,,,,,
73,1.2167,0.0,,,,,
74,1.2333,0.0,,,,,
75,1.25,0.0,,,,,
76,1.2667,0.0,,,,,
77,1.2833,0.0,,,,,
78,1.3,0.0,,,,,
79,1.3167,0.0,,,,,
80,1.3333,0.0,,,,,
81,1.35,0.0,,,,,
82,1.3667,0.0,,,,,
83,1.3833,0.0,,,,,
84,1.4,0.0,,,,,
85,1.4167,0.0,,,,,
86,1.4333,0.0,,,,,
87,1.45,0.0,,,,,
88,1.4667,0.0,,,,,
89,1.4833,0.0,,,,,
90,1.5,0.0,,,,,
91,1.5167,0.0,,,,,
92,1.5333,0.0,,,,,
93,1.55,0.0,,,,,
94,1.5667,0.0,,,,,
95,1.5833,0.0,,,,,
96,1.6,0.0,,,,,
97,1.6167,0.0,,,,,
98,1.6333,0.0,,,,,
99,1.65,0.0,,,,,
100,1.6667,0.0,,,,,
101,1.6833,0.0,,,,,
102,1.7,0.0,,,,,
103,1.7167,0.0,,,,,
104,1.7333,0.0,,,,,
105,1.75,0.0,,,,,
106,1.7667,0.0,,,,,
107,1.7833,0.0,,,,,
108,1.8,0.0,,,,,
109,1.8167,0.0,,,,,
110,1.8333,0.0,,,,,
111,1.85,0.0,,,,,
112,1.8667,0.0,,,,,
113,1.8833,0.0,,,,,
114,1.9,0.0,,,,,
115,1.9167,0.0,,,,,
116,1.9333,0.0,,,,,
117,1.95,0.0,,,,,
118,1.9667,0.0,,,,,
119,1.9833,0.0,,,,,
120,2.0,0.0,,,,,
121,2.0167,0.0,,,,,
122,2.0333,0.0,,,,,
123,2.05,0.0,,,,,
124,2.0667,0.0,,,,,
125,2.0833,0.0,,,,,
126,2.1,0.0,,,,,
127,2.1167,0.0,,,,,
128,2.1333,0.0,,,,,
129,2.15,0.0,,,,,
130,2.1667,0.0,,,,,
131,2.1833,0.0,,,,,
132,2.2,0.0,,,,,
133,2.2167,0.0,,,,,
134,2.2333,0.0,,,,,
135,2.25,0.0,,,,,
136,2.2667,0.0,,,,,
137,2.2833,0.0,,,,,
138,2.3,0.0,,,,,
139,2.3167,0.0,,,,,
140,2.3333,0.0,,,,,
141,2.35,0.0,,,,,
142,2.3667,0.0,,,,,
143,2.3833,0.0,,,,,
144,2.4,0.0,,,,,
145,2.4167,0.0,,,,,
146,2.4333,0.0,,,,,
147,2.45,0.0,,,,,
148,2.4667,0.0,,,,,
149,2.4833,0.0,,,,,
150,2.5,0.0,,,,,
151,2.5167,0.0,,,,,
152,2.5333,0.0,,,,,
153,2.55,0.0,,,,,
154,2.5667,0.0,,,,,
155,2.5833,0.0,,,,,
156,2.6,0.0,,,,,
157,2.6167,0.0,,,,,
158,2.6333,0.0,,,,,
159,2.65,0.0,,,,,
160,2.6667,0.0,,,,,
161,2.6833,0.0,,,,,
162,2.7,0.0,,,,,
163,2.7167,0.0,,,,,
164,2.7333,0.0,,,,,
165,2.75,0.0,,,,,
166,2.7667,0.0,,,,,
167,2.7833,0.0,,,,,
168,2.8,0.0,,,,,
169,2.8167,0.0,,,,,
170,2.8333,0.0,,,,,
171,2.85,0.0,,,,,
172,2.8667,0.0,,,,,
173,2.8833,0.0,,,,,
174,2.9,0.0,,,,,
175,2.9167,0.0,,,,,
176,2.9333,0.0,,,,,
177,2.95,0.0,,,,,
178,2.9667,0.0,,,,,
179,2.9833,0.0,,,,,
180,3.0,0.0,,,,,
181,3.0167,0.0,,,,,
182,3.0333,0.0,,,,,
183,3.05,0.0,,,,,
184,3.0667,0.0,,,,,
185,3.0833,0.0,,,,,
186,3.1,0.0,,,,,
187,3.1167,0.0,,,,,
188,3.1333,0.0,,,,,
189,3.15,0.0,,,,,
190,3.1667,0.0,,,,,
191,3.1833,0.0,,,,,
192,3.2,0.0,,,,,
193,3.2167,0.0,,,,,
194,3.2333,0.0,,,,,
195,3.25,0.0,,,,,
196,3.2667,0.0,,,,,
197,3.2833,0.0,,,,,
198,3.3,0.0,,,,,
199,3.3167,0.0,,,,,
200,3.3333,0.0,,,,,
201,3.35,0.0,,,,,
202,3.3667,0.0,,,,,
203,3.3833,0.0,,,,,
204,3.4,0.0,,,,,
205,3.4167,0.0,,,,,
206,3.4333,0.0,,,,,
207,3.45,0.0,,,,,
208,3.4667,0.0,,,,,
209,3.4833,0.0,,,,,
210,3.5,0.0,,,,,
211,3.5167,0.0,,,,,
212,3.5333,0.0,,,,,
213,3.55,0.0,,,,,
214,3.5667,0.0,,,,,
215,3.5833,0.0,,,,,
216,3.6,0.0,,,,,
217,3.6167,0.0,,,,,
