doy,month,peak_ghi_wm2,daily_energy_wh_m2,daytime_mean_ghi,cvi
1,1,985.0,5548.9,503.2,0.15
2,1,916.9,4939.2,447.8,0.15
3,1,850.4,5017.1,455.6,0.15
4,1,843.8,5169.5,468.7,0.15
5,1,860.7,5263.7,477.3,0.15
6,1,982.5,5139.8,466.0,0.15
7,1,848.3,4983.0,451.9,0.15
8,1,952.2,5512.9,499.9,0.15
9,1,861.3,4843.7,439.2,0.15
10,1,996.4,4662.7,427.2,0.15
11,1,939.9,5204.0,471.9,0.15
12,1,977.7,5203.3,476.1,0.15
13,1,851.0,4909.8,445.2,0.15
14,1,857.8,5191.6,473.6,0.15
15,1,860.6,5094.0,461.9,0.15
16,1,864.2,4907.0,445.6,0.15
17,1,859.8,5202.0,472.4,0.15
18,1,846.2,5288.2,483.9,0.15
19,1,986.8,4881.1,444.6,0.15
20,1,990.4,5155.4,466.8,0.15
21,1,835.0,4793.6,434.6,0.15
22,1,974.4,5056.8,459.9,0.15
23,1,848.5,5405.0,490.9,0.15
24,1,858.8,4845.2,439.3,0.15
25,1,985.4,4812.9,437.0,0.15
26,1,978.9,5153.2,467.2,0.15
27,1,865.0,5251.1,477.6,0.15
28,1,843.4,5409.7,492.0,0.15
29,1,985.2,5365.2,486.5,0.15
30,1,953.6,4829.5,439.2,0.15
31,1,850.0,5103.1,462.7,0.15
32,2,898.5,5850.2,504.5,0.2
33,2,879.5,5780.3,498.6,0.2
34,2,884.4,5741.2,496.6,0.2
35,2,930.8,5333.8,460.0,0.2
36,2,999.0,5206.8,449.0,0.2
37,2,880.6,5860.8,505.5,0.2
38,2,1022.3,5218.9,450.1,0.2
39,2,879.4,5518.3,476.6,0.2
40,2,883.9,5367.8,462.9,0.2
41,2,880.6,5559.8,480.9,0.2
42,2,968.0,5598.6,483.6,0.2
43,2,890.0,6131.1,528.9,0.2
44,2,891.8,5034.3,434.7,0.2
45,2,889.0,5998.1,517.3,0.2
46,2,894.7,5920.6,515.8,0.2
47,2,899.3,5425.0,474.6,0.2
48,2,892.7,5917.2,510.3,0.2
49,2,890.9,5224.8,456.5,0.2
50,2,878.5,5451.7,473.6,0.2
51,2,874.1,5407.1,466.4,0.2
52,2,881.5,6024.2,519.6,0.2
53,2,947.0,5601.9,483.2,0.2
54,2,891.1,5827.9,504.1,0.2
55,2,905.5,5702.4,491.8,0.2
56,2,884.1,5068.0,437.1,0.2
57,2,878.5,5296.0,456.8,0.2
58,2,1024.9,5927.7,516.5,0.2
59,2,890.7,5642.5,486.7,0.2
60,3,999.9,4959.8,410.0,0.25
61,3,991.6,4502.9,373.7,0.25
62,3,945.6,4787.8,392.0,0.25
63,3,1028.6,4936.6,404.7,0.25
64,3,1023.5,4642.7,384.8,0.25
65,3,1076.5,4530.4,374.9,0.25
66,3,996.5,4215.6,345.1,0.25
67,3,984.1,5333.1,445.8,0.25
68,3,1045.0,4822.5,399.7,0.25
69,3,902.5,4480.8,366.8,0.25
70,3,1042.1,5089.1,417.3,0.25
71,3,1010.9,4323.7,353.5,0.25
72,3,916.4,5315.4,435.3,0.25
73,3,1055.4,4931.6,406.0,0.25
74,3,1041.1,4718.2,389.5,0.25
75,3,1031.2,4522.6,374.8,0.25
76,3,1048.8,4704.9,389.9,0.25
77,3,1057.8,4400.0,362.7,0.25
78,3,1040.2,4929.1,403.6,0.25
79,3,1054.1,5215.2,426.5,0.25
80,3,1016.9,4975.3,408.0,0.25
81,3,903.9,5343.7,444.2,0.25
82,3,1027.8,5235.2,429.3,0.25
83,3,1049.6,4640.3,382.6,0.25
84,3,1049.3,5435.8,450.6,0.25
85,3,1013.8,5066.9,420.6,0.25
86,3,1021.9,3947.5,324.9,0.25
87,3,1043.0,4790.0,396.5,0.25
88,3,1019.7,4875.8,410.2,0.25
89,3,891.0,4981.6,415.7,0.25
90,3,1042.6,5034.1,413.9,0.25
91,4,1049.3,5123.6,396.8,0.3
92,4,1075.2,4850.2,377.5,0.3
93,4,1007.0,5349.8,414.9,0.3
94,4,1041.4,5198.4,402.1,0.3
95,4,1053.8,4935.0,381.7,0.3
96,4,1056.7,5157.8,404.1,0.3
97,4,1059.4,5252.3,406.2,0.3
98,4,1044.7,5212.5,404.7,0.3
99,4,1057.5,5242.3,407.1,0.3
100,4,1073.1,4972.9,385.1,0.3
101,4,1064.0,5015.1,388.8,0.3
102,4,905.1,4732.5,367.9,0.3
103,4,1023.8,4750.9,367.5,0.3
104,4,1061.0,4592.6,357.4,0.3
105,4,1065.4,5012.8,388.2,0.3
106,4,925.2,5110.3,395.7,0.3
107,4,1053.9,4950.9,384.4,0.3
108,4,1035.5,5117.6,396.8,0.3
109,4,1064.1,4987.1,392.2,0.3
110,4,1026.1,5430.3,420.0,0.3
111,4,1063.8,5220.5,406.4,0.3
112,4,1037.8,4669.3,365.3,0.3
113,4,1025.5,5801.8,449.3,0.3
114,4,1041.4,5508.1,427.1,0.3
115,4,937.9,5328.8,414.3,0.3
116,4,926.5,5101.1,396.6,0.3
117,4,1041.9,5156.5,399.3,0.3
118,4,1077.1,4680.4,364.8,0.3
119,4,1047.6,5075.0,395.0,0.3
120,4,1068.3,5053.0,392.9,0.3
121,5,918.5,4691.2,353.2,0.45
122,5,990.9,5273.4,399.6,0.45
123,5,1008.0,5430.5,413.0,0.45
124,5,993.7,5753.8,436.0,0.45
125,5,970.5,4925.8,368.2,0.45
126,5,1004.0,4812.0,361.4,0.45
127,5,975.7,4949.2,374.1,0.45
128,5,1025.4,5269.4,398.7,0.45
129,5,1014.4,5150.5,385.0,0.45
130,5,981.3,4548.2,339.5,0.45
131,5,981.0,5334.5,397.3,0.45
132,5,955.5,4714.0,352.3,0.45
133,5,1002.0,4756.7,361.7,0.45
134,5,956.9,4651.3,351.9,0.45
135,5,940.2,5440.4,410.2,0.45
136,5,1012.8,4716.7,355.6,0.45
137,5,989.3,4962.9,375.6,0.45
138,5,1013.6,5026.1,380.3,0.45
139,5,1007.5,4577.4,341.3,0.45
140,5,945.2,5021.1,380.0,0.45
141,5,846.1,4797.9,357.7,0.45
142,5,1032.7,4753.8,358.8,0.45
143,5,986.5,5372.2,401.6,0.45
144,5,1000.7,4993.7,380.2,0.45
145,5,905.9,4973.2,371.7,0.45
146,5,988.9,5250.8,392.5,0.45
147,5,1010.7,5223.9,394.8,0.45
148,5,936.0,5231.7,392.9,0.45
149,5,957.3,5171.1,386.5,0.45
150,5,971.0,4886.6,364.3,0.45
151,5,963.6,4586.2,344.9,0.45
152,6,744.1,3055.8,229.8,0.7
153,6,791.9,3290.8,244.9,0.7
154,6,775.9,3330.6,247.3,0.7
155,6,764.0,2850.7,212.9,0.7
156,6,777.5,3156.5,236.3,0.7
157,6,767.6,3116.5,232.2,0.7
158,6,773.1,3366.2,253.0,0.7
159,6,754.7,2847.5,215.2,0.7
160,6,765.1,3235.8,244.0,0.7
161,6,651.9,2942.1,224.6,0.7
162,6,768.7,2803.9,209.3,0.7
163,6,778.4,2839.3,214.3,0.7
164,6,777.7,2955.7,219.3,0.7
165,6,743.5,2713.2,201.8,0.7
166,6,773.6,3124.3,233.3,0.7
167,6,725.1,2651.7,202.9,0.7
168,6,763.8,3268.1,245.0,0.7
169,6,773.4,2795.1,208.2,0.7
170,6,774.5,2990.8,220.9,0.7
171,6,773.8,2947.2,217.7,0.7
172,6,766.2,3018.7,227.9,0.7
173,6,767.9,2653.5,197.8,0.7
174,6,767.9,2905.1,218.2,0.7
175,6,759.3,3410.5,253.5,0.7
176,6,745.6,3021.8,227.8,0.7
177,6,764.8,2614.7,194.7,0.7
178,6,779.6,3056.7,227.7,0.7
179,6,762.3,2978.9,222.7,0.7
180,6,781.3,3186.3,237.1,0.7
181,6,784.5,3348.4,251.6,0.7
182,7,684.7,2637.6,194.2,0.85
183,7,661.2,2909.7,216.6,0.85
184,7,703.4,2751.4,210.2,0.85
185,7,660.8,2814.2,213.2,0.85
186,7,694.8,2803.1,208.7,0.85
187,7,700.7,2579.8,192.6,0.85
188,7,686.1,2874.1,216.1,0.85
189,7,671.3,2550.1,188.7,0.85
190,7,704.0,2733.0,207.8,0.85
191,7,635.4,2799.2,210.7,0.85
192,7,707.0,2476.2,181.2,0.85
193,7,665.2,2395.7,180.1,0.85
194,7,676.6,2867.8,215.4,0.85
195,7,700.1,2347.2,179.2,0.85
196,7,635.4,2578.7,195.7,0.85
197,7,635.5,2866.6,215.5,0.85
198,7,685.5,3003.4,223.7,0.85
199,7,687.4,2799.7,207.0,0.85
200,7,702.9,2886.9,218.4,0.85
201,7,698.6,2824.2,211.3,0.85
202,7,699.8,3198.7,238.0,0.85
203,7,621.2,2708.1,201.4,0.85
204,7,685.2,3129.8,236.9,0.85
205,7,698.9,2677.6,198.1,0.85
206,7,697.6,3035.9,225.5,0.85
207,7,688.6,2817.7,212.3,0.85
208,7,704.2,3097.5,231.5,0.85
209,7,658.2,2759.1,203.5,0.85
210,7,687.4,2556.4,189.6,0.85
211,7,694.3,2857.8,211.0,0.85
212,7,701.9,2578.1,193.6,0.85
213,8,745.5,3080.1,233.8,0.8
214,8,739.3,2611.8,200.1,0.8
215,8,719.6,2724.1,206.2,0.8
216,8,714.7,3046.7,232.6,0.8
217,8,728.3,2679.5,204.5,0.8
218,8,726.0,3279.8,253.7,0.8
219,8,739.1,2784.8,212.4,0.8
220,8,729.0,2848.2,217.2,0.8
